X, Y
1794, 4526
1797, 4533
1800, 4541
1801, 4547
-1, -1
1939, 4506
1941, 4497
1943, 4489
1943, 4479
1944, 4471
1940, 4463
1930, 4463
1923, 4468
1915, 4476
1908, 4488
1903, 4500
1899, 4514
1896, 4528
1896, 4540
1898, 4553
1900, 4562
1902, 4569
1909, 4570
1915, 4568
1922, 4562
1929, 4555
1936, 4547
1942, 4536
1949, 4525
1955, 4517
1959, 4510
1963, 4515
1966, 4523
1968, 4532
1971, 4544
1974, 4555
1977, 4565
1980, 4573
1982, 4579
1984, 4571
1987, 4542
-1, -1
2048, 4484
2051, 4490
2054, 4496
2057, 4503
2062, 4511
2065, 4518
2068, 4525
2071, 4530
2077, 4533
2083, 4532
2090, 4524
2095, 4513
2102, 4501
2109, 4486
2115, 4471
2118, 4461
2124, 4452
-1, -1
2195, 4460
2195, 4467
2198, 4474
2202, 4479
2208, 4482
2214, 4485
2221, 4487
2230, 4487
2240, 4487
2249, 4485
2259, 4482
2266, 4479
2273, 4477
2280, 4473
2287, 4469
2291, 4461
2291, 4454
2286, 4449
2275, 4445
2267, 4445
2258, 4443
2250, 4443
2243, 4443
2234, 4448
2228, 4455
2224, 4465
2220, 4476
2220, 4491
2221, 4508
2222, 4524
2226, 4538
2230, 4549
2237, 4560
2244, 4566
2252, 4565
2265, 4557
2282, 4542
2293, 4517
-1, -1
2620, 4519
2626, 4519
2632, 4514
2636, 4509
2640, 4504
2644, 4494
2644, 4487
2644, 4478
2637, 4475
2626, 4480
2619, 4486
2611, 4494
2604, 4504
2600, 4513
2596, 4521
2593, 4530
2592, 4537
2592, 4544
2595, 4551
2599, 4554
2606, 4553
2615, 4549
2622, 4545
2632, 4538
2640, 4530
2647, 4525
2653, 4520
2657, 4516
2661, 4519
2665, 4527
2668, 4534
2671, 4540
2678, 4547
2682, 4554
2688, 4561
2694, 4566
2697, 4571
2703, 4573
2706, 4565
2709, 4553
2706, 4541
2712, 4523
-1, -1
3162, 4345
3166, 4340
3172, 4343
3174, 4349
3174, 4360
3173, 4369
3171, 4380
3167, 4394
3164, 4410
3161, 4427
3156, 4446
3151, 4466
3148, 4485
3146, 4504
3144, 4522
3141, 4538
3139, 4553
3138, 4565
3138, 4575
3136, 4583
3136, 4589
3136, 4581
3136, 4571
3136, 4561
3136, 4552
3136, 4541
3136, 4530
3135, 4521
3132, 4513
3128, 4506
3124, 4499
3116, 4494
3110, 4490
3103, 4489
3096, 4489
3085, 4490
3078, 4492
3072, 4495
3064, 4502
3058, 4509
3053, 4517
3049, 4527
3046, 4537
3044, 4547
3044, 4557
3044, 4565
3046, 4573
3048, 4581
3053, 4588
3058, 4591
3066, 4590
3075, 4586
3085, 4580
3097, 4573
3107, 4567
3115, 4562
3124, 4557
3131, 4553
3137, 4549
3142, 4545
-1, -1
3297, 4470
3302, 4465
3305, 4470
3307, 4476
3310, 4483
3310, 4490
3313, 4501
3314, 4513
3314, 4525
3316, 4536
3316, 4550
3316, 4562
3316, 4573
3316, 4583
3313, 4589
3313, 4595
3313, 4586
3314, 4576
